Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters),ANNUAL RAINFALL (Millimeters)
549,2011,5,Karnataka,Bangalore(Rural),0,1,1,77,91,43,98,198,41,134,32,5,721
549,2012,5,Karnataka,Bangalore(Rural),0,0,4.3,57.7,108.2,20.4,73.2,138.3,47.6,79.6,106.8,14.4,650.5
549,2013,5,Karnataka,Bangalore(Rural),0,6.9,2.3,38.9,119.6,81.5,83.7,75.8,268.5,130.7,59.8,5.1,872.8
549,2014,5,Karnataka,Bangalore(Rural),0,0.1,19.6,11,92.5,61.4,90.1,162.6,202.3,267.2,35.4,3.9,946.1
549,2015,5,Karnataka,Bangalore(Rural),19,0,28.4,112,162.1,107.5,55.8,99.9,238.2,78.8,189.4,11.2,1102.3
549,2016,5,Karnataka,Bangalore(Rural),8.9,0,17.6,2.3,146.8,141.3,226.6,32.3,48.8,51.6,9.1,68.7,754
549,2017,5,Karnataka,Bangalore(Rural),0.9,0,12.4,36.9,207.6,27.6,36.1,199.1,376.8,335,16.2,11.3,1259.9
550,2000,5,Karnataka,Bangalore(Urban),0,50,0,46,89,79,61,241,180,200,3,5,954
550,2001,5,Karnataka,Bangalore(Urban),1,0,4,160,17,14,96,96,259,120,26,4,797
550,2002,5,Karnataka,Bangalore(Urban),0,0,5,0,185,116,30,42,75,164,36,4,657
550,2003,5,Karnataka,Bangalore(Urban),-1,-1,-1,52,2,55,71,129,87,190,23,1,610
550,2004,5,Karnataka,Bangalore(Urban),2,4,8,46,235,87,237,78,183,202,25,0,1107
550,2005,5,Karnataka,Bangalore(Urban),1,1,6,59,195,51,130,144,159,337,103,9,1195
550,2006,5,Karnataka,Bangalore(Urban),0,0,81,25,120,151,38,70,31,47,51,1,615
550,2007,5,Karnataka,Bangalore(Urban),0,0.2,0,104.9,79.5,57.2,154,146.5,223.7,163,21.1,34.5,984.6
550,2008,5,Karnataka,Bangalore(Urban),0,0,0,93,75,44,145,244,106,169,35,0,743
550,2009,5,Karnataka,Bangalore(Urban),0.1,0,15.2,63.9,123.8,125.4,30.2,162.2,335.3,35.2,0,0,891.3
550,2010,5,Karnataka,Bangalore(Urban),2,1,13,71,125,74,109,115,132,101,139,4,884
550,2011,5,Karnataka,Bangalore(Urban),0,13,6,110,137,56,106,239,84,154,46,4,954
550,2012,5,Karnataka,Bangalore(Urban),0.1,0,0.6,21.1,108.1,9.2,63.7,130.5,41.3,60,100.6,17.2,552.4
550,2013,5,Karnataka,Bangalore(Urban),0,4,2.6,28.9,110.1,93.1,76.2,72.6,249.3,95.5,63.3,1.4,797
550,2014,5,Karnataka,Bangalore(Urban),0,0.1,12.9,7.2,83.2,93.7,80.6,118.1,181.8,247.3,27.8,2,854.7
550,2015,5,Karnataka,Bangalore(Urban),7.7,0,21.8,131.4,124.4,80.4,71.7,102,190.7,109.4,231.2,4,1074.7
550,2016,5,Karnataka,Bangalore(Urban),4.9,0,18.2,6.2,132.3,164,187.9,45.1,48.1,31.7,2.9,73.3,714.6
550,2017,5,Karnataka,Bangalore(Urban),0.5,0,27.4,26,204.6,32,41.1,231.7,394.5,259.7,15.1,11.5,1244.1
1010,2000,5,Karnataka,Bagalkote,0,0,0,3,68,69,42,97,127,148,2,0,556
1010,2001,5,Karnataka,Bagalkote,0,0,1,10,16,21,17,66,205,160,0,1,497
